name	function
9606.ENSP00000261556	[ 1.  0.]
9606.ENSP00000355900	[-1 -1]
9606.ENSP00000330361	[-1 -1]
9606.ENSP00000313350	[ 1.  1.]
9606.ENSP00000309610	[-1 -1]
9606.ENSP00000296091	[ 0.  0.]
9606.ENSP00000320754	[ 0.  0.]
9606.ENSP00000328631	[ 1.  0.]
9606.ENSP00000267197	[ 1.  1.]
9606.ENSP00000366452	[ 1.  1.]
9606.ENSP00000447149	[ 1.  1.]
9606.ENSP00000325548	[ 1.  0.]
9606.ENSP00000342278	[ 1.  1.]
9606.ENSP00000265333	[ 1.  1.]
9606.ENSP00000324203	[ 1.  1.]
9606.ENSP00000354669	[-1 -1]
9606.ENSP00000306241	[-1 -1]
9606.ENSP00000352920	[ 0.  0.]
9606.ENSP00000301920	[-1 -1]
9606.ENSP00000360112	[ 0.  0.]
9606.ENSP00000301727	[ 1.  1.]
9606.ENSP00000352047	[ 0.  0.]
9606.ENSP00000305632	[ 1.  1.]
9606.ENSP00000370003	[ 1.  1.]
9606.ENSP00000343930	[ 1.  1.]
9606.ENSP00000309186	[ 0.  0.]
9606.ENSP00000274938	[ 1.  0.]
9606.ENSP00000311778	[ 1.  1.]
9606.ENSP00000381184	[ 1.  0.]
9606.ENSP00000298943	[ 1.  0.]
9606.ENSP00000399664	[ 0.  0.]
9606.ENSP00000333887	[ 1.  1.]
9606.ENSP00000362063	[ 1.  1.]
9606.ENSP00000381782	[ 1.  0.]
9606.ENSP00000361483	[ 1.  0.]
9606.ENSP00000424711	[ 1.  0.]
9606.ENSP00000255465	[ 1.  1.]
9606.ENSP00000274289	[ 1.  1.]
9606.ENSP00000338624	[ 0.  0.]
9606.ENSP00000293274	[ 0.  0.]
9606.ENSP00000378138	[ 1.  1.]
9606.ENSP00000262103	[ 0.  0.]
9606.ENSP00000321132	[ 0.  0.]
9606.ENSP00000309629	[ 1.  1.]
9606.ENSP00000391641	[ 0.  0.]
9606.ENSP00000272972	[ 0.  0.]
9606.ENSP00000333779	[-1 -1]
9606.ENSP00000347999	[ 0.  0.]
9606.ENSP00000242607	[ 1.  0.]
9606.ENSP00000344071	[ 0.  0.]
9606.ENSP00000332369	[ 1.  1.]
9606.ENSP00000309871	[ 1.  1.]
9606.ENSP00000337159	[ 1.  1.]
9606.ENSP00000319474	[ 0.  0.]
9606.ENSP00000320768	[ 1.  1.]
9606.ENSP00000257515	[ 1.  0.]
9606.ENSP00000319814	[ 1.  0.]
9606.ENSP00000244728	[ 1.  0.]
9606.ENSP00000370966	[ 1.  1.]
9606.ENSP00000376204	[ 1.  1.]
9606.ENSP00000238721	[ 0.  0.]
9606.ENSP00000368503	[-1 -1]
9606.ENSP00000404381	[ 1.  0.]
9606.ENSP00000263798	[ 0.  0.]
9606.ENSP00000358862	[ 1.  1.]
9606.ENSP00000228837	[ 1.  0.]
9606.ENSP00000417583	[ 1.  1.]
9606.ENSP00000249442	[-1 -1]
9606.ENSP00000339340	[ 0.  0.]
9606.ENSP00000304108	[ 1.  0.]
9606.ENSP00000252595	[ 1.  1.]
9606.ENSP00000365198	[ 1.  1.]
9606.ENSP00000303315	[ 1.  1.]
9606.ENSP00000388119	[-1 -1]
9606.ENSP00000364992	[-1 -1]
9606.ENSP00000355251	[ 0.  0.]
9606.ENSP00000334289	[-1 -1]
9606.ENSP00000355155	[ 1.  0.]
9606.ENSP00000361043	[ 1.  1.]
9606.ENSP00000252037	[-1 -1]
9606.ENSP00000378588	[ 1.  1.]
9606.ENSP00000262894	[ 0.  0.]
9606.ENSP00000366673	[ 1.  1.]
9606.ENSP00000311760	[-1 -1]
9606.ENSP00000341032	[ 0.  0.]
9606.ENSP00000338613	[-1 -1]
9606.ENSP00000243896	[ 1.  1.]
9606.ENSP00000401980	[ 1.  1.]
9606.ENSP00000327315	[ 1.  0.]
9606.ENSP00000234160	[ 1.  1.]
9606.ENSP00000404438	[ 0.  0.]
9606.ENSP00000358081	[ 1.  1.]
9606.ENSP00000326267	[ 0.  0.]
9606.ENSP00000256079	[ 0.  0.]
9606.ENSP00000370447	[ 1.  1.]
9606.ENSP00000335060	[ 0.  0.]
9606.ENSP00000329002	[ 1.  1.]
9606.ENSP00000338283	[ 1.  1.]
9606.ENSP00000263640	[ 1.  0.]
9606.ENSP00000305343	[ 0.  0.]
9606.ENSP00000384312	[ 1.  1.]
9606.ENSP00000399968	[ 1.  1.]
9606.ENSP00000271638	[ 1.  1.]
9606.ENSP00000352926	[ 0.  0.]
9606.ENSP00000329482	[-1 -1]
9606.ENSP00000271628	[-1 -1]
9606.ENSP00000299459	[ 0.  0.]
9606.ENSP00000259698	[ 0.  0.]
9606.ENSP00000329467	[ 1.  0.]
9606.ENSP00000457330	[ 0.  0.]
9606.ENSP00000355583	[ 0.  0.]
9606.ENSP00000351318	[ 0.  0.]
9606.ENSP00000391085	[ 1.  1.]
9606.ENSP00000328287	[ 1.  1.]
9606.ENSP00000357012	[ 1.  0.]
9606.ENSP00000334879	[-1 -1]
9606.ENSP00000233948	[ 1.  0.]
9606.ENSP00000264824	[ 0.  0.]
9606.ENSP00000273936	[ 1.  1.]
9606.ENSP00000271234	[ 1.  1.]
9606.ENSP00000358241	[ 1.  1.]
9606.ENSP00000468633	[ 1.  0.]
9606.ENSP00000352673	[ 0.  0.]
9606.ENSP00000291890	[-1 -1]
9606.ENSP00000425955	[ 0.  0.]
9606.ENSP00000349708	[ 0.  0.]
9606.ENSP00000329554	[ 1.  1.]
9606.ENSP00000306754	[ 0.  0.]
9606.ENSP00000380531	[ 1.  1.]
9606.ENSP00000359398	[ 1.  1.]
9606.ENSP00000333725	[ 0.  0.]
9606.ENSP00000331748	[ 1.  1.]
9606.ENSP00000377252	[ 0.  0.]
9606.ENSP00000359603	[ 1.  0.]
9606.ENSP00000246548	[ 0.  0.]
9606.ENSP00000352282	[ 1.  1.]
9606.ENSP00000226798	[-1 -1]
9606.ENSP00000261479	[ 1.  1.]
9606.ENSP00000320434	[ 1.  1.]
9606.ENSP00000353731	[ 1.  1.]
9606.ENSP00000300249	[ 1.  1.]
9606.ENSP00000329557	[ 1.  1.]
9606.ENSP00000354305	[ 0.  0.]
9606.ENSP00000315136	[ 1.  1.]
9606.ENSP00000013034	[ 1.  1.]
9606.ENSP00000238156	[ 1.  1.]
9606.ENSP00000225298	[ 1.  1.]
9606.ENSP00000341368	[-1 -1]
9606.ENSP00000332013	[ 1.  1.]
9606.ENSP00000393719	[ 1.  0.]
9606.ENSP00000221797	[ 0.  0.]
9606.ENSP00000341268	[ 1.  1.]
9606.ENSP00000258317	[ 0.  0.]
9606.ENSP00000262942	[ 1.  0.]
9606.ENSP00000206544	[ 1.  0.]
9606.ENSP00000282701	[ 1.  0.]
9606.ENSP00000247668	[ 1.  1.]
9606.ENSP00000424261	[ 0.  0.]
9606.ENSP00000310031	[-1 -1]
9606.ENSP00000263035	[ 1.  1.]
9606.ENSP00000318898	[ 1.  0.]
9606.ENSP00000356518	[-1 -1]
9606.ENSP00000369784	[-1 -1]
9606.ENSP00000351769	[ 1.  1.]
9606.ENSP00000310521	[ 1.  0.]
9606.ENSP00000407761	[ 1.  1.]
9606.ENSP00000273861	[ 1.  0.]
9606.ENSP00000357288	[ 1.  1.]
9606.ENSP00000273390	[ 0.  0.]
9606.ENSP00000348463	[ 1.  0.]
9606.ENSP00000302578	[ 1.  1.]
9606.ENSP00000053468	[ 1.  1.]
9606.ENSP00000469038	[-1 -1]
9606.ENSP00000221283	[ 1.  1.]
9606.ENSP00000288040	[ 0.  0.]
9606.ENSP00000355775	[ 0.  0.]
9606.ENSP00000341743	[ 0.  0.]
9606.ENSP00000234071	[ 0.  0.]
9606.ENSP00000336729	[ 1.  0.]
9606.ENSP00000361486	[ 1.  1.]
9606.ENSP00000330825	[ 1.  0.]
9606.ENSP00000413861	[ 0.  0.]
9606.ENSP00000302968	[ 1.  1.]
9606.ENSP00000471625	[-1 -1]
9606.ENSP00000268057	[ 1.  1.]
9606.ENSP00000289248	[ 1.  0.]
9606.ENSP00000382544	[ 1.  1.]
9606.ENSP00000262384	[ 0.  0.]
9606.ENSP00000401437	[ 1.  1.]
9606.ENSP00000261866	[ 1.  1.]
9606.ENSP00000366391	[-1 -1]
9606.ENSP00000340296	[ 0.  0.]
9606.ENSP00000432545	[ 0.  0.]
9606.ENSP00000262888	[ 1.  0.]
9606.ENSP00000313661	[ 1.  0.]
9606.ENSP00000340761	[ 1.  1.]
9606.ENSP00000363559	[ 1.  1.]
9606.ENSP00000353470	[-1 -1]
9606.ENSP00000350716	[-1 -1]
9606.ENSP00000289382	[ 1.  1.]
9606.ENSP00000302918	[-1 -1]
9606.ENSP00000358518	[-1 -1]
9606.ENSP00000346791	[ 1.  1.]
9606.ENSP00000321962	[-1 -1]
9606.ENSP00000224862	[ 1.  1.]
9606.ENSP00000356290	[ 1.  1.]
9606.ENSP00000370058	[-1 -1]
9606.ENSP00000290429	[ 1.  1.]
9606.ENSP00000391116	[-1 -1]
9606.ENSP00000326500	[ 0.  0.]
9606.ENSP00000263038	[ 1.  1.]
9606.ENSP00000471539	[-1 -1]
9606.ENSP00000299633	[ 1.  1.]
9606.ENSP00000330862	[ 1.  0.]
9606.ENSP00000303997	[ 1.  1.]
9606.ENSP00000391101	[ 0.  0.]
9606.ENSP00000341684	[ 1.  1.]
9606.ENSP00000055682	[ 0.  0.]
9606.ENSP00000318716	[ 1.  1.]
9606.ENSP00000303206	[ 0.  0.]
9606.ENSP00000302100	[-1 -1]
9606.ENSP00000258884	[ 0.  0.]
9606.ENSP00000357906	[ 1.  1.]
9606.ENSP00000427336	[ 1.  0.]
9606.ENSP00000258415	[ 1.  1.]
9606.ENSP00000348089	[ 1.  1.]
9606.ENSP00000413001	[ 0.  0.]
9606.ENSP00000338397	[ 1.  1.]
9606.ENSP00000257905	[ 1.  1.]
9606.ENSP00000365167	[-1 -1]
9606.ENSP00000347792	[ 0.  0.]
9606.ENSP00000202788	[ 1.  1.]
9606.ENSP00000368869	[-1 -1]
9606.ENSP00000417674	[ 1.  1.]
9606.ENSP00000352904	[ 1.  1.]
9606.ENSP00000306335	[ 0.  0.]
9606.ENSP00000241436	[ 1.  1.]
9606.ENSP00000423503	[ 0.  0.]
9606.ENSP00000316898	[-1 -1]
9606.ENSP00000355231	[ 1.  1.]
9606.ENSP00000355787	[-1 -1]
9606.ENSP00000317691	[ 0.  0.]
9606.ENSP00000423391	[ 0.  0.]
9606.ENSP00000369042	[ 0.  0.]
9606.ENSP00000347847	[ 1.  1.]
9606.ENSP00000350491	[ 1.  1.]
9606.ENSP00000215582	[ 0.  0.]
9606.ENSP00000394623	[-1 -1]
9606.ENSP00000331466	[ 1.  0.]
9606.ENSP00000251643	[ 1.  1.]
9606.ENSP00000234454	[ 1.  1.]
9606.ENSP00000399938	[ 1.  1.]
9606.ENSP00000329266	[ 1.  0.]
9606.ENSP00000361867	[ 1.  1.]
9606.ENSP00000253237	[ 1.  1.]
9606.ENSP00000407375	[ 1.  1.]
9606.ENSP00000310593	[ 1.  1.]
9606.ENSP00000430333	[ 1.  0.]
9606.ENSP00000323246	[ 1.  1.]
9606.ENSP00000252519	[ 1.  0.]
9606.ENSP00000272117	[ 0.  0.]
9606.ENSP00000275764	[ 0.  0.]
9606.ENSP00000300181	[ 1.  1.]
9606.ENSP00000348634	[ 1.  1.]
9606.ENSP00000462337	[ 0.  0.]
9606.ENSP00000432011	[ 1.  0.]
9606.ENSP00000364801	[-1 -1]
9606.ENSP00000311528	[ 1.  0.]
9606.ENSP00000256797	[ 1.  0.]
9606.ENSP00000336940	[-1 -1]
9606.ENSP00000370074	[ 1.  1.]
9606.ENSP00000287461	[ 0.  0.]
9606.ENSP00000241463	[ 1.  0.]
9606.ENSP00000280684	[ 0.  0.]
9606.ENSP00000271889	[ 1.  0.]
9606.ENSP00000272065	[ 1.  1.]
9606.ENSP00000364665	[ 1.  1.]
9606.ENSP00000310406	[ 1.  1.]
9606.ENSP00000352420	[-1 -1]
9606.ENSP00000394510	[ 0.  0.]
9606.ENSP00000349259	[ 1.  1.]
9606.ENSP00000291744	[ 1.  0.]
9606.ENSP00000334181	[ 1.  0.]
9606.ENSP00000381541	[ 1.  1.]
9606.ENSP00000397050	[ 0.  0.]
9606.ENSP00000358510	[ 1.  1.]
9606.ENSP00000353151	[ 0.  0.]
9606.ENSP00000312837	[ 1.  1.]
9606.ENSP00000356438	[ 1.  1.]
9606.ENSP00000238146	[ 0.  0.]
9606.ENSP00000324323	[ 0.  0.]
9606.ENSP00000315371	[ 1.  1.]
9606.ENSP00000398106	[ 0.  0.]
9606.ENSP00000341539	[ 1.  1.]
9606.ENSP00000361206	[ 1.  1.]
9606.ENSP00000359793	[ 1.  1.]
9606.ENSP00000410396	[ 0.  0.]
9606.ENSP00000313983	[ 0.  0.]
9606.ENSP00000334330	[ 0.  0.]
9606.ENSP00000312700	[ 1.  0.]
9606.ENSP00000380996	[-1 -1]
9606.ENSP00000282077	[ 1.  1.]
9606.ENSP00000229304	[ 1.  1.]
9606.ENSP00000056233	[ 0.  0.]
9606.ENSP00000296257	[ 1.  1.]
9606.ENSP00000288078	[ 1.  1.]
9606.ENSP00000385638	[ 1.  1.]
9606.ENSP00000312458	[ 1.  0.]
9606.ENSP00000230361	[ 1.  0.]
9606.ENSP00000354168	[ 1.  1.]
9606.ENSP00000298690	[ 0.  0.]
9606.ENSP00000346032	[ 1.  1.]
9606.ENSP00000428612	[ 1.  0.]
9606.ENSP00000333188	[ 1.  1.]
9606.ENSP00000296223	[ 1.  1.]
9606.ENSP00000278314	[ 0.  0.]
9606.ENSP00000369134	[ 1.  1.]
9606.ENSP00000360593	[-1 -1]
9606.ENSP00000226209	[ 1.  1.]
9606.ENSP00000375416	[ 0.  0.]
9606.ENSP00000317331	[ 1.  0.]
9606.ENSP00000361668	[ 1.  0.]
9606.ENSP00000409655	[-1 -1]
9606.ENSP00000412788	[ 1.  1.]
9606.ENSP00000315700	[ 1.  1.]
9606.ENSP00000435815	[-1 -1]
9606.ENSP00000211122	[-1 -1]
9606.ENSP00000256257	[ 1.  0.]
9606.ENSP00000340125	[ 0.  0.]
9606.ENSP00000263519	[-1 -1]
9606.ENSP00000309031	[ 1.  1.]
9606.ENSP00000420686	[ 0.  0.]
9606.ENSP00000367879	[ 0.  0.]
9606.ENSP00000334808	[ 1.  1.]
9606.ENSP00000429824	[ 1.  1.]
9606.ENSP00000216420	[ 1.  1.]
9606.ENSP00000411012	[ 0.  0.]
9606.ENSP00000399758	[-1 -1]
9606.ENSP00000293677	[ 0.  0.]
9606.ENSP00000271277	[ 1.  1.]
9606.ENSP00000276072	[ 1.  1.]
9606.ENSP00000386160	[ 1.  0.]
9606.ENSP00000264167	[ 1.  1.]
9606.ENSP00000364591	[ 1.  1.]
9606.ENSP00000371138	[ 1.  1.]
9606.ENSP00000318646	[ 1.  1.]
9606.ENSP00000229268	[ 0.  0.]
9606.ENSP00000370522	[ 1.  0.]
9606.ENSP00000332148	[ 1.  1.]
9606.ENSP00000350009	[ 1.  1.]
9606.ENSP00000301067	[ 1.  1.]
9606.ENSP00000354841	[ 1.  1.]
9606.ENSP00000354622	[-1 -1]
9606.ENSP00000358474	[ 1.  1.]
9606.ENSP00000312272	[-1 -1]
9606.ENSP00000382867	[-1 -1]
9606.ENSP00000385746	[ 0.  0.]
9606.ENSP00000336666	[ 0.  0.]
9606.ENSP00000225777	[ 1.  1.]
9606.ENSP00000321347	[ 1.  1.]
9606.ENSP00000261755	[ 1.  0.]
9606.ENSP00000470965	[ 0.  0.]
9606.ENSP00000328023	[ 1.  0.]
9606.ENSP00000386208	[ 1.  0.]
9606.ENSP00000398273	[ 0.  0.]
9606.ENSP00000263559	[ 1.  1.]
9606.ENSP00000454919	[ 1.  1.]
9606.ENSP00000335522	[-1 -1]
9606.ENSP00000282728	[ 1.  1.]
9606.ENSP00000301729	[ 1.  1.]
9606.ENSP00000381589	[ 1.  0.]
9606.ENSP00000355265	[ 1.  1.]
9606.ENSP00000315602	[ 1.  0.]
9606.ENSP00000363812	[ 1.  1.]
9606.ENSP00000457111	[-1 -1]
9606.ENSP00000353270	[ 1.  1.]
9606.ENSP00000374260	[-1 -1]
9606.ENSP00000332788	[ 1.  1.]
9606.ENSP00000245960	[ 1.  1.]
9606.ENSP00000282633	[-1 -1]
9606.ENSP00000305640	[ 1.  0.]
9606.ENSP00000216071	[-1 -1]
9606.ENSP00000422431	[ 1.  0.]
9606.ENSP00000409862	[-1 -1]
9606.ENSP00000290271	[ 1.  1.]
9606.ENSP00000292199	[ 0.  0.]
9606.ENSP00000321988	[ 0.  0.]
9606.ENSP00000357452	[ 1.  1.]
9606.ENSP00000363168	[ 0.  0.]
9606.ENSP00000372276	[ 1.  1.]
9606.ENSP00000290122	[-1 -1]
9606.ENSP00000332576	[ 0.  0.]
9606.ENSP00000362136	[ 1.  0.]
9606.ENSP00000454253	[ 1.  1.]
9606.ENSP00000393557	[ 1.  0.]
9606.ENSP00000393453	[ 0.  0.]
9606.ENSP00000222823	[ 1.  0.]
9606.ENSP00000375397	[ 0.  0.]
9606.ENSP00000312834	[ 0.  0.]
9606.ENSP00000371398	[ 1.  1.]
9606.ENSP00000365441	[ 1.  0.]
9606.ENSP00000246662	[ 1.  1.]
9606.ENSP00000359100	[ 1.  0.]
9606.ENSP00000356230	[ 1.  1.]
9606.ENSP00000367203	[ 1.  1.]
9606.ENSP00000370531	[ 1.  1.]
9606.ENSP00000294954	[ 0.  0.]
9606.ENSP00000215904	[ 1.  1.]
9606.ENSP00000367787	[ 1.  1.]
9606.ENSP00000357480	[ 1.  1.]
9606.ENSP00000409463	[ 0.  0.]
9606.ENSP00000370299	[ 1.  1.]
9606.ENSP00000418823	[ 1.  1.]
9606.ENSP00000362110	[ 1.  1.]
9606.ENSP00000320234	[ 1.  0.]
9606.ENSP00000250863	[ 1.  1.]
9606.ENSP00000352820	[ 1.  1.]
9606.ENSP00000260766	[ 1.  1.]
9606.ENSP00000054666	[ 1.  1.]
9606.ENSP00000394494	[ 0.  0.]
9606.ENSP00000375691	[ 0.  0.]
9606.ENSP00000215567	[ 1.  1.]
9606.ENSP00000361871	[-1 -1]
9606.ENSP00000378890	[ 1.  1.]
9606.ENSP00000437968	[-1 -1]
9606.ENSP00000348128	[ 1.  1.]
9606.ENSP00000346255	[ 1.  1.]
9606.ENSP00000469669	[-1 -1]
9606.ENSP00000250056	[ 1.  1.]
9606.ENSP00000336769	[ 1.  0.]
9606.ENSP00000311747	[ 1.  1.]
9606.ENSP00000265085	[ 1.  1.]
9606.ENSP00000395323	[ 1.  0.]
9606.ENSP00000413064	[ 1.  1.]
9606.ENSP00000368127	[-1 -1]
9606.ENSP00000269554	[ 0.  0.]
9606.ENSP00000267015	[ 1.  0.]
9606.ENSP00000261401	[ 1.  1.]
9606.ENSP00000276692	[ 0.  0.]
9606.ENSP00000415178	[-1 -1]
9606.ENSP00000354620	[ 0.  0.]
9606.ENSP00000387362	[ 1.  1.]
9606.ENSP00000300576	[ 1.  1.]
9606.ENSP00000264779	[ 1.  1.]
9606.ENSP00000385814	[ 1.  1.]
9606.ENSP00000397103	[-1 -1]
9606.ENSP00000274276	[ 1.  0.]
9606.ENSP00000337446	[ 1.  1.]
9606.ENSP00000273814	[ 1.  1.]
9606.ENSP00000340668	[ 1.  0.]
9606.ENSP00000233242	[ 1.  1.]
9606.ENSP00000285947	[ 0.  0.]
9606.ENSP00000276569	[ 1.  1.]
9606.ENSP00000267430	[ 1.  1.]
9606.ENSP00000295240	[ 1.  1.]
9606.ENSP00000328524	[ 1.  1.]
9606.ENSP00000350698	[ 1.  1.]
9606.ENSP00000366863	[ 1.  1.]
9606.ENSP00000308258	[ 1.  0.]
9606.ENSP00000367309	[ 1.  1.]
9606.ENSP00000353874	[ 1.  1.]
9606.ENSP00000420182	[-1 -1]
9606.ENSP00000278319	[ 0.  0.]
9606.ENSP00000294129	[ 0.  0.]
9606.ENSP00000334644	[ 0.  0.]
9606.ENSP00000416707	[ 1.  0.]
9606.ENSP00000300093	[ 1.  1.]
9606.ENSP00000419901	[-1 -1]
9606.ENSP00000413196	[-1 -1]
9606.ENSP00000342535	[ 1.  0.]
9606.ENSP00000265560	[ 1.  1.]
9606.ENSP00000262146	[ 1.  1.]
9606.ENSP00000429065	[ 1.  1.]
9606.ENSP00000262861	[ 0.  0.]
9606.ENSP00000417116	[ 0.  0.]
9606.ENSP00000162749	[ 1.  1.]
9606.ENSP00000260408	[ 1.  1.]
9606.ENSP00000428343	[ 0.  0.]
9606.ENSP00000383394	[-1 -1]
9606.ENSP00000456953	[-1 -1]
9606.ENSP00000365735	[ 0.  0.]
9606.ENSP00000322568	[ 1.  1.]
9606.ENSP00000404011	[-1 -1]
9606.ENSP00000257254	[ 0.  0.]
9606.ENSP00000319417	[ 1.  1.]
9606.ENSP00000308330	[-1 -1]
9606.ENSP00000353462	[ 1.  1.]
9606.ENSP00000286307	[ 1.  1.]
9606.ENSP00000430031	[ 0.  0.]
9606.ENSP00000287380	[ 1.  1.]
9606.ENSP00000314992	[ 0.  0.]
9606.ENSP00000262198	[ 0.  0.]
9606.ENSP00000263512	[ 1.  0.]
9606.ENSP00000321334	[ 1.  0.]
9606.ENSP00000378958	[ 0.  0.]
9606.ENSP00000359393	[ 0.  0.]
9606.ENSP00000299667	[ 0.  0.]
9606.ENSP00000422941	[ 1.  0.]
9606.ENSP00000321345	[ 1.  0.]
9606.ENSP00000219345	[ 1.  1.]
9606.ENSP00000373783	[ 1.  1.]
9606.ENSP00000409126	[ 1.  1.]
9606.ENSP00000372199	[ 1.  1.]
9606.ENSP00000368766	[ 0.  0.]
9606.ENSP00000274764	[ 1.  1.]
9606.ENSP00000376148	[-1 -1]
9606.ENSP00000318956	[ 1.  0.]
9606.ENSP00000448165	[ 1.  1.]
9606.ENSP00000334430	[-1 -1]
9606.ENSP00000365200	[-1 -1]
9606.ENSP00000328444	[ 1.  1.]
9606.ENSP00000298832	[ 1.  1.]
9606.ENSP00000336800	[ 1.  1.]
9606.ENSP00000254616	[ 1.  1.]
9606.ENSP00000342197	[ 1.  0.]
9606.ENSP00000313921	[ 1.  0.]
9606.ENSP00000440207	[ 0.  0.]
9606.ENSP00000328596	[ 0.  0.]
9606.ENSP00000270502	[-1 -1]
9606.ENSP00000384214	[-1 -1]
9606.ENSP00000287022	[ 1.  1.]
9606.ENSP00000300177	[ 1.  0.]
9606.ENSP00000253801	[ 1.  0.]
9606.ENSP00000385000	[ 1.  1.]
9606.ENSP00000261991	[ 1.  1.]
9606.ENSP00000375682	[ 1.  1.]
9606.ENSP00000386210	[ 0.  0.]
9606.ENSP00000424474	[-1 -1]
9606.ENSP00000011898	[-1 -1]
9606.ENSP00000345494	[ 1.  1.]
9606.ENSP00000252456	[ 1.  1.]
9606.ENSP00000393262	[ 1.  0.]
9606.ENSP00000303468	[ 0.  0.]
9606.ENSP00000349954	[-1 -1]
9606.ENSP00000364543	[-1 -1]
9606.ENSP00000311862	[ 1.  0.]
9606.ENSP00000306968	[ 1.  1.]
9606.ENSP00000298596	[ 1.  1.]
9606.ENSP00000254900	[ 1.  1.]
9606.ENSP00000305152	[ 1.  0.]
9606.ENSP00000274498	[ 0.  0.]
9606.ENSP00000317469	[ 1.  1.]
9606.ENSP00000263765	[ 0.  0.]
9606.ENSP00000349884	[ 0.  0.]
9606.ENSP00000423211	[ 0.  0.]
9606.ENSP00000315731	[ 1.  0.]
9606.ENSP00000386895	[ 0.  0.]
9606.ENSP00000399679	[ 1.  0.]
9606.ENSP00000350267	[ 1.  1.]
9606.ENSP00000306223	[ 1.  1.]
9606.ENSP00000202967	[ 1.  1.]
9606.ENSP00000362987	[ 1.  1.]
9606.ENSP00000292035	[ 1.  1.]
9606.ENSP00000408005	[ 1.  1.]
9606.ENSP00000358314	[-1 -1]
